Gene	sgRNA	NKselection|beta	NKselection|z	NKselection|p-value	NKselection|fdr	NKselection|wald-p-value	NKselection|wald-fdr
C7orf63	6	0.39891	0.75857	0.77882	0.99682	0.44811	0.84383
HSDL1	6	0.43047	0.77865	0.73752	0.99682	0.43619	0.84383
DOCK5	6	-0.17855	-0.35772	0.49283	0.98755	0.72055	0.89844
KCNS3	6	0.16034	0.25095	0.8898	0.99682	0.80186	0.92439
ARPC4-TTLL3	3	0.14338	0.32322	0.93303	0.99751	0.74653	0.90664
ZFP37	6	-1.1749	-1.7143	0.026225	0.771	0.086465	0.84383
G2E3	6	0.16462	0.30004	0.89584	0.99682	0.76415	0.91251
ITPA	6	0.16126	0.59642	0.89086	0.99682	0.5509	0.8503
GJB1	6	0.55084	0.99434	0.58497	0.98963	0.32006	0.84383
MAGI1	6	-0.076292	-0.14051	0.6011	0.99078	0.88826	0.95702
ITCH	6	-0.71542	-1.8049	0.12338	0.91089	0.071089	0.84383
BARD1	6	-0.97009	-1.2589	0.052081	0.81766	0.20806	0.84383
DARC	6	1.0148	0.94484	0.20192	0.94021	0.34474	0.84383
ARMC8	6	0.61045	1.0599	0.52261	0.98798	0.28917	0.84383
KCNK4	6	1.4686	0.97906	0.053325	0.82274	0.32755	0.84383
BAI3	6	1.2826	1.0694	0.094483	0.89255	0.2849	0.84383
hsa-mir-1258	4	0.8462	0.91331	0.41586	0.97893	0.36108	0.84383
COL21A1	6	0.84953	0.94767	0.30248	0.95101	0.3433	0.84383
ANO9	6	0.36137	0.61322	0.82864	0.99682	0.53973	0.8483
PAF1	6	0.04421	0.078265	0.73757	0.99682	0.93762	0.97541
GHRL	6	0.13582	0.25721	0.85611	0.99682	0.79702	0.92293
DACT3	6	0.4109	0.42751	0.76324	0.99682	0.66901	0.88132
hsa-mir-6855	4	-0.26518	-0.23706	0.5133	0.98798	0.81261	0.92928
PRPS1L1	6	0.27868	1.0327	0.94078	0.99751	0.30176	0.84383
UGGT2	6	0.35232	0.59928	0.84104	0.99682	0.54899	0.84951
KISS1R	6	0.11183	0.16685	0.82431	0.99682	0.86749	0.94871
JUP	6	-0.025293	-0.068055	0.65843	0.99651	0.94574	0.97802
UBA7	6	1.0957	1.1882	0.16113	0.92898	0.23477	0.84383
OR5K4	6	-0.27028	-0.6904	0.40489	0.97572	0.48994	0.84383
KIAA0355	6	-0.076992	-0.15837	0.60027	0.99078	0.87417	0.95177
RPA1	6	-0.44292	-0.55744	0.26718	0.94696	0.57723	0.8561
AGAP2	6	0.74988	1.0826	0.38277	0.96869	0.27899	0.84383
LPPR2	6	0.45621	0.93449	0.70429	0.99682	0.35005	0.84383
THAP9	6	-0.22724	-0.40985	0.4461	0.98349	0.68192	0.88497
FAM199X	6	0.30886	0.88382	0.8986	0.99682	0.3768	0.84383
ARSG	6	0.097307	0.21926	0.80509	0.99682	0.82645	0.93437
LRRC59	6	-0.423	-0.80528	0.2822	0.94792	0.42066	0.84383
BTG4	6	0.32036	0.82969	0.88358	0.99682	0.40671	0.84383
TMEM150C	6	0.98852	0.99022	0.21634	0.94021	0.32207	0.84383
GRIK3	6	0.40311	0.90454	0.77389	0.99682	0.36571	0.84383
BASP1	6	0.22543	0.57282	0.98304	0.99944	0.56677	0.85454
hsa-mir-548aa-2	4	-0.79772	-1.6998	0.17754	0.93462	0.089174	0.84383
KLHL7	6	-0.81652	-1.9834	0.088676	0.89038	0.047327	0.84383
hsa-mir-1277	4	-0.45667	-0.98885	0.36341	0.96557	0.32274	0.84383
GPER	6	0.44568	0.54693	0.71678	0.99682	0.58443	0.85829
KLLN	6	-0.028872	-0.072581	0.65415	0.99558	0.94214	0.97716
FOXR1	6	0.43527	1.6263	0.73015	0.99682	0.10388	0.84383
TMEM79	6	0.28645	0.75059	0.93077	0.99751	0.4529	0.84383
SAMD13	6	-0.35781	-1.0813	0.33134	0.95522	0.27958	0.84383
hsa-mir-509-1	4	-0.26568	-0.8317	0.51288	0.98798	0.40558	0.84383
EPB41L4A	6	-0.23995	-0.69183	0.43324	0.98153	0.48904	0.84383
USP17L3	4	-1.1023	-1.8343	0.08568	0.88025	0.06661	0.84383
CLN3	6	-0.27586	-0.63806	0.39946	0.97448	0.52344	0.84562
PRR22	6	0.25386	0.63246	0.97728	0.99944	0.52709	0.84598
SMYD2	6	-1.1103	-2.1748	0.032954	0.78744	0.029643	0.84383
UNC13B	6	-0.13285	-0.37002	0.54007	0.98816	0.71136	0.89516
PRR3	6	-0.067538	-0.1749	0.61128	0.99078	0.86116	0.9462
CLEC11A	6	0.28648	0.39233	0.93077	0.99751	0.69482	0.88998
OR51B6	6	0.0074707	0.018192	0.69618	0.99682	0.98549	0.99461
TM2D1	6	0.59558	0.75295	0.53763	0.98798	0.45148	0.84383
MANSC1	6	0.95706	0.9356	0.23386	0.9415	0.34948	0.84383
CISH	6	-0.17392	-0.48238	0.4974	0.98755	0.62954	0.87001
DAZ1	6	-0.29063	-1.4925	0.38664	0.97044	0.13556	0.84383
NonTargetingControlGuideForHuman_0712	1	2.0579	0.27693	0.26031	0.94696	0.78184	0.91739
C11orf30	6	0.6123	1.086	0.52053	0.98798	0.27747	0.84383
POU2F3	6	0.17584	0.4037	0.91312	0.9972	0.68643	0.88631
MEIS2	6	-0.065173	-0.18291	0.61363	0.99078	0.85487	0.94456
NTSR2	6	0.55909	1.75	0.57598	0.98944	0.080115	0.84383
ZNF235	6	0.65946	0.98677	0.47089	0.98674	0.32375	0.84383
E2F7	6	0.75163	0.90408	0.38134	0.96869	0.36595	0.84383
CCDC134	6	0.15279	0.33736	0.87994	0.99682	0.73585	0.90396
TGFB3	6	-0.64282	-1.7186	0.15366	0.92898	0.085682	0.84383
PLAC9	6	0.42278	1.2505	0.74891	0.99682	0.21111	0.84383
HYAL4	6	0.63639	1.2029	0.4956	0.98755	0.22902	0.84383
FBXL4	6	0.4001	0.86577	0.77762	0.99682	0.38662	0.84383
HIBCH	6	-0.58491	-1.573	0.18021	0.93547	0.11572	0.84383
ALPI	6	-0.13923	-0.43725	0.53362	0.98798	0.66193	0.87894
GP9	6	0.52316	0.77724	0.61824	0.99078	0.43702	0.84383
TPPP2	6	0.20681	0.66115	0.95598	0.99885	0.50852	0.84469
PPIL4	6	-0.71647	-1.3068	0.12292	0.90993	0.19127	0.84383
TP53TG3	5	0.32262	1.0819	0.88911	0.99682	0.27931	0.84383
ANKRD22	6	-0.62318	-1.2585	0.16219	0.92898	0.20822	0.84383
hsa-mir-6771	4	-0.71077	-1.4112	0.21519	0.94021	0.1582	0.84383
SMPD2	6	0.23811	0.49273	0.99917	1	0.62221	0.86811
C1orf234	6	-0.12129	-0.31276	0.55201	0.98936	0.75446	0.9091
LSM1	6	-0.63301	-1.4065	0.15827	0.92898	0.15957	0.84383
POMC	6	0.044983	0.14375	0.7384	0.99682	0.8857	0.95648
COX6A1	6	1.2237	1.1302	0.112	0.90965	0.25839	0.84383
SLC39A14	6	0.15493	0.35564	0.88233	0.99682	0.72211	0.89876
MRGPRD	6	-1.0354	-1.7878	0.041573	0.80106	0.073808	0.84383
ATHL1	6	-0.36582	-0.90566	0.32475	0.95199	0.36512	0.84383
TMEM11	6	0.68462	0.88385	0.44661	0.98349	0.37678	0.84383
TIMM9	6	-0.14556	-0.51212	0.52634	0.98798	0.60857	0.86228
SLC25A31	6	0.017777	0.048172	0.70766	0.99682	0.96158	0.98437
PCDHB4	6	-0.56422	-0.82636	0.19086	0.93547	0.4086	0.84383
PGS1	6	0.49638	0.74825	0.65014	0.99492	0.45431	0.84383
SSU72	6	-0.42711	-0.61846	0.27958	0.94792	0.53628	0.84761
COG2	6	0.0020139	0.0029843	0.68936	0.99682	0.99762	0.99911
MVB12A	6	-0.13956	-0.44753	0.53312	0.98798	0.65449	0.87652
C6orf141	6	0.37055	0.72017	0.81597	0.99682	0.47142	0.84383
NFE2L2	6	0.29602	0.73292	0.91745	0.9972	0.46361	0.84383
PPARGC1A	6	0.59458	0.8838	0.53828	0.98799	0.37681	0.84383
IGFBP3	6	0.5548	0.99637	0.58036	0.98944	0.31907	0.84383
SMUG1	6	-0.01349	-0.024911	0.67212	0.99682	0.98013	0.99308
C1orf127	6	-0.37551	-0.63431	0.31709	0.95153	0.52588	0.84562
RHOU	6	0.86567	1.2203	0.29009	0.94873	0.22234	0.84383
AHCTF1	6	-0.53283	-1.0659	0.2092	0.94021	0.28647	0.84383
