id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
hsa-mir-6859-2	1	4.4046e-06	3.8808e-06	0.084158	1	1	-8.7713	1.0	1.0	0.999997	21686	0	-8.7713
SRCAP	5	1.3134e-05	5.182e-05	0.428218	2	5	-4.1226	0.99999	0.99999	0.999997	21685	0	-4.1226
CHST4	6	1.5734e-05	0.00010113	0.428218	3	6	-4.2099	0.99998	0.99999	0.999997	21684	0	-4.2099
MECOM	6	1.6285e-05	0.00010432	0.428218	4	6	-3.0334	0.99998	0.99999	0.999997	21683	0	-3.0334
C20orf173	6	1.8986e-05	0.00011802	0.428218	5	3	-2.8249	0.00050202	0.0026159	0.597134	85	2	-2.8249
ERRFI1	6	1.9163e-05	0.00011848	0.428218	6	3	-0.25463	0.59972	0.75236	0.999509	15823	2	-0.25463
CDH10	6	2.2755e-05	0.00014062	0.435644	7	4	-3.8058	0.037944	0.12503	0.991008	2518	2	-3.8058
OR8D1	6	3.1187e-05	0.00019061	0.453622	8	4	-2.3721	0.90236	0.91361	0.999997	19678	1	-2.3721
TNPO2	5	3.913e-05	0.00017509	0.453622	9	3	-0.96241	0.013994	0.049749	0.973673	1101	1	-0.96241
B2M	5	5.0756e-05	0.00023216	0.453622	10	5	-3.0713	0.99995	0.99996	0.999997	21682	0	-3.0713
SORCS1	6	5.1324e-05	0.00028969	0.453622	11	5	-3.9694	0.59439	0.74901	0.999509	15737	1	-3.9694
MMP28	6	5.4446e-05	0.0003043	0.453622	12	4	-4.2917	0.13685	0.31743	0.99635	6438	1	-4.2917
PITX2	6	5.4453e-05	0.0003043	0.453622	13	6	-2.8301	0.99995	0.99995	0.999997	21681	0	-2.8301
C1orf100	6	6.2591e-05	0.00033671	0.453622	14	6	-2.7918	0.99994	0.99994	0.999997	21680	0	-2.7918
COL11A1	6	7.2092e-05	0.00038511	0.453622	15	5	-3.4448	0.98154	0.9817	0.999997	21235	0	-3.4448
NR1H3	6	7.354e-05	0.00039104	0.453622	16	6	-2.7099	0.99993	0.99993	0.999997	21679	0	-2.7099
MSI2	6	7.4707e-05	0.00039744	0.453622	17	5	-3.5527	0.6809	0.80594	0.999997	17003	1	-3.5527
NUP43	6	7.928e-05	0.00042209	0.457673	18	3	-0.21593	0.97253	0.97258	0.999997	21040	0	-0.21593
MGA	6	8.755e-05	0.00047277	0.488213	19	5	-3.9698	0.99535	0.99541	0.999997	21548	0	-3.9698
JAK2	6	9.464e-05	0.00051432	0.502269	20	5	-4.3858	0.73929	0.84717	0.999997	17824	1	-4.3858
hsa-mir-662	4	9.7477e-05	0.00039241	0.453622	21	4	-4.0879	0.9999	0.9999	0.999997	21678	0	-4.0879
ZNF280B	6	0.00010247	0.00055586	0.502269	22	5	-4.6794	0.82424	0.87778	0.999997	18662	1	-4.6794
YARS2	3	0.00011819	0.00035406	0.453622	23	2	-6.3656	0.89537	0.89545	0.999997	19573	0	-6.3656
PIK3CA	6	0.0001215	0.00065996	0.550457	24	4	-4.3293	0.36775	0.58669	0.997138	11964	2	-4.3293
SQLE	6	0.00013213	0.00071338	0.558581	25	4	-3.1411	0.90981	0.91813	0.999997	19791	1	-3.1411
NPAT	4	0.00013774	0.00055449	0.502269	26	3	-4.9914	0.93336	0.93324	0.999997	20238	0	-4.9914
SERINC3	6	0.00013862	0.00074671	0.558581	27	5	-1.67	0.83063	0.88009	0.999997	18743	1	-1.67
POLE2	4	0.00015278	0.00061385	0.532475	28	3	-5.1197	0.81912	0.82302	0.999997	18617	1	-5.1197
THOP1	5	0.00016433	0.00077273	0.558581	29	5	-2.6641	0.99984	0.99984	0.999997	21677	0	-2.6641
COX7A2	5	0.00016439	0.00077273	0.558581	30	5	-3.8066	0.9997	0.9997	0.999997	21670	0	-3.8066
HHATL	6	0.00016824	0.00091426	0.628113	31	4	-3.306	0.98083	0.98098	0.999997	21218	0	-3.306
RHBDF2	6	0.00018498	0.0010161	0.629562	32	2	0.17465	0.60521	0.75583	0.999509	15916	2	0.17465
HUS1	5	0.0002092	0.00099097	0.629562	33	5	-2.685	0.99979	0.9998	0.999997	21676	0	-2.685
IFIT1B	6	0.00021012	0.001138	0.670458	34	3	-1.0291	0.61024	0.75904	0.999509	15986	2	-1.0291
RBBP6	6	0.0002232	0.0011992	0.684341	35	6	-2.735	0.99978	0.99977	0.999997	21675	0	-2.735
RSPH9	6	0.00023445	0.0012608	0.691983	36	5	-2.8864	0.88396	0.90346	0.999997	19409	1	-2.8864
ERP44	6	0.00024414	0.0013074	0.691983	37	6	-3.6826	0.99915	0.99916	0.999997	21654	0	-3.6826
STAT1	6	0.00024467	0.0013083	0.691983	38	4	-4.0558	0.57378	0.73601	0.999509	15428	1	-4.0558
hsa-let-7f-2	4	0.00024663	0.00095581	0.628113	39	3	-3.596	0.97804	0.97813	0.999997	21168	0	-3.596
DCTN4	6	0.00025098	0.0013475	0.693762	40	6	-2.4307	0.99975	0.99975	0.999997	21674	0	-2.4307
MARCH10	6	0.00026037	0.0013987	0.693762	41	6	-2.2785	0.99974	0.99975	0.999997	21673	0	-2.2785
SPAST	6	0.00026244	0.0014115	0.693762	42	3	-0.34782	0.07138	0.19443	0.993881	3939	3	-0.34782
KIAA1644	6	0.00027933	0.0015037	0.693762	43	5	-3.1859	0.88987	0.90656	0.999997	19489	1	-3.1859
FAM172A	6	0.00029067	0.0015589	0.693762	44	2	-0.035915	0.40252	0.6226	0.997138	12738	2	-0.035915
NCKAP1	6	0.00029918	0.0015968	0.693762	45	6	-2.0341	0.9997	0.99971	0.999997	21672	0	-2.0341
THRB	6	0.0002996	0.0015996	0.693762	46	6	-1.9739	0.9997	0.99971	0.999997	21671	0	-1.9739
NUDT16L1	6	0.00030731	0.0016416	0.69802	47	5	-2.8878	0.92523	0.92875	0.999997	20069	1	-2.8878
H2AFX	5	0.00031113	0.0014662	0.693762	48	5	-3.5429	0.99713	0.99712	0.999997	21594	0	-3.5429
ZNF396	6	0.00032369	0.0017224	0.718298	49	4	-3.2857	0.1049	0.25916	0.993881	5296	1	-3.2857
TAP1	6	0.00033521	0.0017822	0.724505	50	6	-3.917	0.99919	0.9992	0.999997	21657	0	-3.917
DGKK	6	0.00035693	0.0018963	0.724505	51	3	-2.2501	0.16147	0.36038	0.997138	7280	1	-2.2501
TUBB6	6	0.00036993	0.0019598	0.724505	52	3	1.2054	0.0058993	0.02559	0.915079	569	3	1.2054
PHF23	6	0.00037382	0.0019808	0.724505	53	5	-3.3066	0.96808	0.96806	0.999997	20950	0	-3.3066
hsa-mir-6833	3	0.0003901	0.0011439	0.670458	54	3	-3.9485	0.99961	0.99961	0.999997	21669	0	-3.9485
hsa-mir-4701	4	0.00041124	0.0015644	0.693762	55	4	-4.4881	0.98968	0.98969	0.999997	21407	0	-4.4881
MAGIX	6	0.00041927	0.0022136	0.724505	56	3	-2.6894	0.7595	0.85728	0.999997	18080	1	-2.6894
FAHD2B	6	0.00042004	0.0022177	0.724505	57	4	-2.2033	0.14799	0.33704	0.997138	6844	1	-2.2033
CRTAC1	6	0.00042753	0.002252	0.724505	58	4	-4.1409	0.84955	0.88755	0.999997	18932	1	-4.1409
PFAS	6	0.00042753	0.002252	0.724505	59	4	-3.7584	0.96294	0.96293	0.999997	20817	0	-3.7584
IFNGR2	5	0.00043393	0.0020096	0.724505	60	5	-4.7532	0.99773	0.99772	0.999997	21609	0	-4.7532
RMI1	6	0.00044949	0.002352	0.724505	61	2	1.0293	0.081329	0.21397	0.993881	4371	3	1.0293
RNF213	6	0.0004532	0.0023725	0.724505	62	6	-1.8496	0.99955	0.99955	0.999997	21668	0	-1.8496
STK35	6	0.00045853	0.002394	0.724505	63	5	-3.3872	0.94663	0.94678	0.999997	20479	1	-3.3872
