Gene	sgRNA	NKselection|beta	NKselection|z	NKselection|p-value	NKselection|fdr	NKselection|wald-p-value	NKselection|wald-fdr
C7orf63	6	-0.060841	-0.64727	0.5875	0.99224	0.51746	0.99998
HSDL1	6	0.07684	0.54796	0.52118	0.99224	0.58372	0.99998
DOCK5	6	0.045005	0.30382	0.71116	0.99224	0.76126	0.99998
KCNS3	6	-0.099872	-0.93386	0.38397	0.99224	0.35038	0.99998
ARPC4-TTLL3	3	-0.23677	-1.167	0.16085	0.96379	0.24322	0.99998
ZFP37	6	0.22491	1.1241	0.063419	0.94089	0.26096	0.99998
G2E3	6	-0.046719	-0.2968	0.67355	0.99224	0.76662	0.99998
ITPA	6	0.19129	1.5816	0.11034	0.95024	0.11373	0.99998
GJB1	6	0.16631	1.1903	0.16352	0.96379	0.23394	0.99998
MAGI1	6	-0.24451	-1.4381	0.040743	0.87926	0.15041	0.99998
ITCH	6	-0.22307	-1.5603	0.0607	0.94089	0.1187	0.99998
BARD1	6	-0.028085	-0.17511	0.79338	0.99256	0.861	0.99998
DARC	6	0.36275	2.2183	0.0047011	0.75	0.026533	0.99998
ARMC8	6	-0.25947	-2.2721	0.03088	0.87073	0.02308	0.99998
KCNK4	6	-0.012491	-0.1729	0.8992	0.99432	0.86273	0.99998
BAI3	6	-0.063286	-0.53743	0.57441	0.99224	0.59097	0.99998
hsa-mir-1258	4	0.031887	0.23191	0.83721	0.99256	0.81661	0.99998
COL21A1	6	0.093908	0.8227	0.43006	0.99224	0.41068	0.99998
ANO9	6	-0.15681	-1.2127	0.17671	0.9666	0.22526	0.99998
PAF1	6	-0.0032791	-0.033634	0.96373	0.99752	0.97317	0.99998
GHRL	6	-0.11477	-0.80494	0.31779	0.99224	0.42085	0.99998
DACT3	6	0.027069	0.20816	0.82947	0.99256	0.83511	0.99998
hsa-mir-6855	4	-0.24167	-1.2735	0.10112	0.95024	0.20285	0.99998
PRPS1L1	6	0.0621	0.53755	0.60709	0.99224	0.59089	0.99998
UGGT2	6	0.019086	0.18333	0.88118	0.99353	0.85454	0.99998
KISS1R	6	0.024853	0.17966	0.84519	0.99256	0.85742	0.99998
JUP	6	-0.11189	-0.89187	0.32972	0.99224	0.37246	0.99998
UBA7	6	0.088901	0.73424	0.4549	0.99224	0.4628	0.99998
OR5K4	6	-0.089355	-0.92534	0.4355	0.99224	0.35479	0.99998
KIAA0355	6	-0.014525	-0.13986	0.88385	0.99353	0.88877	0.99998
RPA1	6	-0.25922	-1.2403	0.031018	0.87073	0.21487	0.99998
AGAP2	6	0.1827	1.1337	0.12605	0.95061	0.25691	0.99998
LPPR2	6	0.041295	0.23298	0.73559	0.99256	0.81577	0.99998
THAP9	6	-0.039969	-0.45762	0.71411	0.99231	0.64723	0.99998
FAM199X	6	0.00828	0.087315	0.95423	0.99736	0.93042	0.99998
ARSG	6	0.054178	0.42773	0.65608	0.99224	0.66885	0.99998
