id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
JAK1	12	3.4643e-11	2.2816e-07	0.002475	1	11	-1.602	0.99723	0.99723	0.999761	21640	0	-1.602
IFNGR2	12	4.9003e-11	2.2816e-07	0.002475	2	11	-1.4647	0.99959	0.99958	0.999958	21687	0	-1.4647
SEC62	12	7.4133e-06	6.959e-05	0.431858	3	9	-0.81197	0.91968	0.96895	0.999761	20888	1	-0.81197
IRF1	12	1.215e-05	0.00011157	0.431858	4	10	-0.43027	0.79122	0.92296	0.999761	19680	1	-0.43027
STAT1	12	1.2444e-05	0.0001134	0.431858	5	10	-0.68083	0.91691	0.9681	0.999761	20857	1	-0.68083
ZNF474	12	1.9617e-05	0.00018367	0.431858	6	10	-0.58397	0.99998	0.99998	0.999985	21695	0	-0.58397
CYP8B1	12	2.0993e-05	0.00019371	0.431858	7	7	-0.53851	0.29539	0.59245	0.999761	12334	3	-0.53851
HLA-E	12	2.1977e-05	0.00020147	0.431858	8	10	-1.1286	0.8351	0.94091	0.999761	20137	1	-1.1286
PRSS57	12	2.4215e-05	0.00021653	0.431858	9	9	-0.68221	0.050503	0.18594	0.974277	3905	3	-0.68221
CGA	12	2.4842e-05	0.00022246	0.431858	10	9	-0.60052	0.65978	0.86745	0.999761	18344	1	-0.60052
DAZAP1	12	2.5151e-05	0.00022337	0.431858	11	5	-0.023345	0.32829	0.62529	0.999761	13043	4	-0.023345
METRNL	12	3.1083e-05	0.00027813	0.431858	12	8	-0.66689	0.46421	0.75067	0.999761	15730	4	-0.66689
CENPT	12	3.1373e-05	0.00028041	0.431858	13	7	-0.63735	0.9643	0.98523	0.999761	21301	1	-0.63735
B2M	12	3.1761e-05	0.00028315	0.431858	14	9	-1.5533	0.98663	0.99053	0.999761	21468	1	-1.5533
ERAP1	12	3.3574e-05	0.00030095	0.431858	15	8	-0.62324	0.6035	0.83409	0.999761	17633	2	-0.62324
B3GNT6	12	3.7095e-05	0.00033198	0.431858	16	9	-0.8701	0.32632	0.62337	0.999761	12998	2	-0.8701
CEACAM16	12	3.8208e-05	0.00033837	0.431858	17	11	-0.46705	0.99835	0.99834	0.999833	21662	0	-0.46705
OTX1	12	4.2804e-05	0.000384	0.43851	18	9	-0.74506	0.9989	0.99887	0.999887	21675	0	-0.74506
SLC30A2	12	4.9648e-05	0.00044789	0.485891	19	10	-0.71806	0.29462	0.59167	0.999761	12315	2	-0.71806
PCDH1	12	6.1321e-05	0.00054417	0.534447	20	6	-0.31866	0.01459	0.070459	0.974277	1474	2	-0.31866
COL6A1	12	6.2853e-05	0.00055878	0.534447	21	8	-0.61355	0.027755	0.11952	0.974277	2489	3	-0.61355
SEMA7A	12	6.4881e-05	0.00057657	0.534447	22	6	-0.32785	0.65338	0.86372	0.999761	18258	3	-0.32785
FNIP1	12	6.6507e-05	0.00059118	0.534447	23	9	-0.64572	0.93907	0.97507	0.999761	21051	1	-0.64572
NTS	12	7.4054e-05	0.00065461	0.544738	24	11	-0.35521	0.8562	0.95007	0.999761	20368	1	-0.35521
CYP17A1	12	7.5452e-05	0.00066921	0.544738	25	6	-0.38689	0.075803	0.25062	0.975028	5342	4	-0.38689
TMEM245	12	7.6684e-05	0.00067788	0.544738	26	7	-0.71527	0.16588	0.42116	0.992632	8869	3	-0.71527
RNF113A	12	8.3468e-05	0.00073036	0.547442	27	8	-0.95374	0.15693	0.40669	0.9919	8588	3	-0.95374
SLC26A9	12	8.3736e-05	0.00073264	0.547442	28	9	-0.61811	0.95779	0.9823	0.999761	21233	2	-0.61811
EDA2R	12	9.5516e-05	0.00082299	0.547442	29	9	-0.4989	0.57043	0.81433	0.999761	17171	1	-0.4989
U2AF2	12	9.9821e-05	0.00085676	0.547442	30	8	-0.54048	0.99701	0.99702	0.999761	21634	0	-0.54048
CBX1	12	0.00010154	0.00087091	0.547442	31	5	-0.1188	0.64101	0.85641	0.999761	18114	3	-0.1188
KIAA0319	12	0.00010226	0.00087821	0.547442	32	8	-0.99536	0.3563	0.65255	0.999761	13651	3	-0.99536
