id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
IFNGR2	12	9.3623e-11	2.2816e-07	0.002475	1	11	-1.4725	0.9996	0.99962	1.0	20688	0	-1.4725
JAK1	12	1.1607e-10	2.2816e-07	0.002475	2	11	-1.6197	0.99808	0.99817	1.0	20655	0	-1.6197
ZNF474	12	9.8055e-06	7.3697e-05	0.27896	3	10	-0.60197	0.99998	0.99999	1.0	20695	0	-0.60197
SEC62	12	1.3462e-05	0.00010199	0.27896	4	10	-0.82977	0.93364	0.97167	1.0	20028	1	-0.82977
CYP8B1	12	1.7473e-05	0.00011294	0.27896	5	7	-0.53526	0.30323	0.54536	0.966257	12099	3	-0.53526
IRF1	12	2.0286e-05	0.00013256	0.27896	6	10	-0.46915	0.79964	0.91721	1.0	18895	1	-0.46915
STAT1	12	2.4287e-05	0.00014854	0.27896	7	10	-0.69857	0.92037	0.96645	1.0	19907	1	-0.69857
DAZAP1	12	2.5151e-05	0.00015036	0.27896	8	5	-0.02012	0.36261	0.61073	0.983381	13315	4	-0.02012
B3GNT6	12	2.8418e-05	0.00016086	0.27896	9	9	-0.90894	0.33481	0.57701	0.971709	12743	2	-0.90894
HLA-E	12	3.3603e-05	0.00017683	0.27896	10	10	-1.1253	0.84286	0.94016	1.0	19345	1	-1.1253
SLC30A2	12	3.4454e-05	0.00017774	0.27896	11	10	-0.73586	0.30103	0.54442	0.966257	12050	2	-0.73586
CEACAM16	12	3.5741e-05	0.00018276	0.27896	12	11	-0.46381	0.99858	0.99877	1.0	20668	0	-0.46381
CGA	12	4.0714e-05	0.00020375	0.27896	13	10	-0.59727	0.64134	0.84005	1.0	17397	1	-0.59727
PRSS57	12	4.14e-05	0.00020466	0.27896	14	9	-0.70001	0.050983	0.12644	0.70531	3829	3	-0.70001
OTX1	12	4.3042e-05	0.00020786	0.27896	15	9	-0.74406	0.99855	0.99873	1.0	20667	0	-0.74406
TMEM245	12	4.4669e-05	0.0002252	0.27896	16	7	-0.74276	0.16507	0.33591	0.842981	8564	3	-0.74276
B2M	12	4.7663e-05	0.00024984	0.27896	17	9	-1.5921	0.984	0.98886	1.0	20444	1	-1.5921
FNIP1	12	4.8772e-05	0.0002503	0.27896	18	9	-0.68453	0.93102	0.97056	1.0	20010	1	-0.68453
METRNL	12	5.0624e-05	0.00025623	0.27896	19	8	-0.68469	0.42957	0.68267	1.0	14615	4	-0.68469
PCDH1	12	5.1126e-05	0.00025714	0.27896	20	6	-0.35749	0.014491	0.037998	0.562324	1448	2	-0.35749
ERAP1	12	5.7416e-05	0.00027676	0.281503	21	8	-0.64108	0.61141	0.82366	1.0	17021	2	-0.64108
CENPT	12	6.0908e-05	0.00028543	0.281503	22	7	-0.6341	0.97013	0.98487	1.0	20342	1	-0.6341
RNF113A	12	7.4121e-05	0.000337	0.290366	23	8	-0.9926	0.1505	0.31594	0.839347	8092	3	-0.9926
CYP17A1	12	7.5452e-05	0.00033928	0.290366	24	6	-0.40472	0.094706	0.22463	0.790558	6097	4	-0.40472
C12orf74	12	7.9683e-05	0.00034795	0.290366	25	10	-0.52799	0.91174	0.96338	1.0	19850	1	-0.52799
EDA2R	12	8.0737e-05	0.00034795	0.290366	26	9	-0.51667	0.56573	0.77907	1.0	16452	1	-0.51667
KIAA0319	12	8.5136e-05	0.0003767	0.297914	27	8	-1.0131	0.33923	0.58138	0.971709	12834	2	-1.0131
CST2	12	8.7241e-05	0.00038446	0.297914	28	7	-0.20665	0.36298	0.61073	0.983381	13325	3	-0.20665
OR7G1	12	9.6933e-05	0.00054463	0.377257	29	8	-0.55895	0.87878	0.95234	1.0	19613	2	-0.55895
