category,term,number_of_genes,number_of_genes_in_background,ncbiTaxonId,inputGenes,preferredNames,p_value,fdr,description
RCTM,HSA-877300,8,90,9606,"IRF1,STAT1,HLA-C,HLA-E,JAK2,IFNGR2,B2M,JAK1","IRF1,STAT1,HLA-C,HLA-E,JAK2,IFNGR2,B2M,JAK1",3.19e-08,7.28e-05,Interferon gamma signaling
RCTM,HSA-427413,7,74,9606,"HIST1H4K,SMARCA5,H2AFZ,DNMT3B,ZNRD1,HIST2H3A,SIN3B","H4C6,SMARCA5,H2AZ1,DNMT3B,ZNRD1,H3C13,SIN3B",1.62e-07,0.00019,NoRC negatively regulates rRNA expression
Process,GO:0060333,5,12,9606,"IRF1,STAT1,JAK2,IFNGR2,JAK1","IRF1,STAT1,JAK2,IFNGR2,JAK1",1.67e-08,0.00026,Interferon-gamma-mediated signaling pathway
RCTM,HSA-983170,5,29,9606,"TAP2,HLA-C,HLA-E,TAPBP,B2M","TAP2,HLA-C,HLA-E,TAPBP,B2M",7e-07,0.0004,"Antigen Presentation: Folding, assembly and peptide loading of class I MHC"
Process,GO:0002483,5,18,9606,"TAP2,HLA-C,HLA-E,TAPBP,B2M","TAP2,HLA-C,HLA-E,TAPBP,B2M",8.85e-08,0.00069,Antigen processing and presentation of endogenous peptide antigen
RCTM,HSA-877312,4,14,9606,"STAT1,JAK2,IFNGR2,JAK1","STAT1,JAK2,IFNGR2,JAK1",1.71e-06,0.00078,Regulation of IFNG signaling
Process,GO:0002474,5,28,9606,"TAP2,HLA-C,HLA-E,TAPBP,B2M","TAP2,HLA-C,HLA-E,TAPBP,B2M",6e-07,0.0024,Antigen processing and presentation of peptide antigen via MHC class I
KEGG,hsa05169,8,192,9606,"USP7,STAT1,TAP2,HLA-C,HLA-E,TAPBP,B2M,JAK1","USP7,STAT1,TAP2,HLA-C,HLA-E,TAPBP,B2M,JAK1",7.35e-06,0.0025,Epstein-Barr virus infection
RCTM,HSA-5617472,6,91,9606,"EGR2,HIST1H4K,H2AFZ,HIST2H3A,ASH2L,RARG","EGR2,H4C6,H2AZ1,H3C13,ASH2L,RARG",9.18e-06,0.003,Activation of anterior HOX genes in hindbrain development during early embryogenesis
RCTM,HSA-606279,5,54,9606,"HIST1H4K,SMARCA5,H2AFZ,RUVBL1,CENPT","H4C6,SMARCA5,H2AZ1,RUVBL1,CENPT",1.14e-05,0.003,Deposition of new CENPA-containing nucleosomes at the centromere
Process,GO:0019885,4,12,9606,"TAP2,HLA-C,TAPBP,B2M","TAP2,HLA-C,TAPBP,B2M",1.02e-06,0.0032,Antigen processing and presentation of endogenous peptide antigen via MHC class I
RCTM,HSA-201722,5,60,9606,"HIST1H4K,H2AFZ,RUVBL1,HIST2H3A,ASH2L","H4C6,H2AZ1,RUVBL1,H3C13,ASH2L",1.84e-05,0.0032,Formation of the beta-catenin:TCF transactivating complex
RCTM,HSA-5250924,5,59,9606,"HIST1H4K,SMARCA5,H2AFZ,ZNRD1,HIST2H3A","H4C6,SMARCA5,H2AZ1,ZNRD1,H3C13",1.7e-05,0.0032,B-WICH complex positively regulates rRNA expression
KEGG,hsa04612,5,64,9606,"TAP2,HLA-C,HLA-E,TAPBP,B2M","TAP2,HLA-C,HLA-E,TAPBP,B2M",2.46e-05,0.0041,Antigen processing and presentation
RCTM,HSA-8936459,5,66,9606,"HIST1H4K,H2AFZ,HIST2H3A,ASH2L,SIN3B","H4C6,H2AZ1,H3C13,ASH2L,SIN3B",2.83e-05,0.0046,RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function
RCTM,HSA-3247509,8,238,9606,"HIST1H4K,H2AFZ,RUVBL1,HIST2H3A,ASH2L,JAK2,ELP5,KANSL2","H4C6,H2AZ1,RUVBL1,H3C13,ASH2L,JAK2,ELP5,KANSL2",3.28e-05,0.005,Chromatin modifying enzymes
RCTM,HSA-1059683,3,11,9606,"STAT1,JAK2,JAK1","STAT1,JAK2,JAK1",4.24e-05,0.0051,Interleukin-6 signaling
RCTM,HSA-1236977,3,11,9606,"HLA-C,HLA-E,B2M","HLA-C,HLA-E,B2M",4.24e-05,0.0051,Endosomal/Vacuolar pathway
RCTM,HSA-5334118,4,34,9606,"HIST1H4K,H2AFZ,DNMT3B,HIST2H3A","H4C6,H2AZ1,DNMT3B,H3C13",3.81e-05,0.0051,DNA methylation
RCTM,HSA-73886,6,120,9606,"HIST1H4K,SMARCA5,H2AFZ,RUVBL1,RFC5,CENPT","H4C6,SMARCA5,H2AZ1,RUVBL1,RFC5,CENPT",4.07e-05,0.0051,Chromosome Maintenance
